Umur,Jumlah Masukan,Bahan Makanan,Vit. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
4,7,"50, 32, 26, 52, 58, 43, 2",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
22,7,"12, 30, 18, 16, 12, 50, 3",o,o,o,o,x,x,o,o,x,x,o,o,x,x,o,x,x,x
22,4,"53, 47, 10, 15",x,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
35,5,"19, 26, 60, 25, 25",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
2,8,"42, 56, 4, 17, 22, 30, 62, 43",x,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
12,5,"17, 33, 60, 12, 59",o,o,x,x,o,x,o,o,x,o,o,o,o,x,o,x,x,x
25,5,"59, 11, 13, 48, 58",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
31,10,"28, 41, 61, 45, 22, 49, 58, 26, 22, 30",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,o,o
25,6,"40, 56, 57, 38, 40, 6",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
7,1,45,o,x,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
4,5,"8, 36, 38, 53, 7",x,o,x,x,x,x,x,o,x,x,o,o,o,x,o,o,o,x
17,8,"59, 35, 38, 19, 46, 21, 12, 29",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
22,2,"8, 56",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
22,3,"15, 46, 56",x,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
32,2,"8, 10",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
12,6,"49, 7, 11, 24, 44, 13",o,o,o,x,x,x,o,o,x,x,x,x,o,x,o,x,x,x
4,8,"40, 27, 34, 29, 33, 18, 25, 15",x,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
18,1,45,o,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
26,10,"2, 35, 12, 21, 22, 48, 37, 55, 2, 21",o,o,o,o,o,x,o,o,x,o,o,o,x,x,o,x,x,x
14,9,"52, 13, 30, 35, 63, 18, 48, 51, 38",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,o
6,6,"15, 47, 58, 33, 13, 33",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
25,4,"39, 62, 31, 36",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
10,8,"9, 50, 9, 34, 63, 9, 27, 61",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
20,3,"36, 24, 8",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
33,1,60,x,o,x,x,o,x,o,x,x,x,x,o,x,x,x,x,x,x
32,1,4,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
20,9,"41, 57, 16, 52, 56, 24, 5, 42, 23",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
22,6,"32, 32, 9, 10, 33, 15",x,o,o,x,o,x,o,o,x,x,x,o,x,x,x,x,x,x
28,10,"12, 46, 57, 59, 20, 25, 50, 16, 18, 14",o,o,o,o,x,x,o,o,x,o,o,o,x,x,o,x,o,x
21,10,"41, 20, 34, 3, 15, 26, 60, 59, 46, 19",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,x,o,o
20,4,"14, 23, 28, 52",x,o,o,x,x,x,o,o,x,o,x,x,x,x,o,x,x,x
8,4,"48, 14, 9, 40",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
17,7,"22, 42, 17, 25, 10, 24, 57",o,o,o,x,x,x,o,o,o,o,o,o,x,x,o,x,o,x
22,7,"34, 45, 6, 50, 55, 49, 34",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
9,5,"63, 36, 27, 26, 8",x,o,o,x,x,x,x,o,x,x,x,x,o,x,o,o,x,o
6,8,"62, 29, 23, 37, 24, 37, 43, 17",o,o,o,x,x,x,o,o,o,o,x,o,o,x,o,o,o,o
3,8,"3, 36, 44, 47, 24, 48, 14, 6",o,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
25,4,"28, 43, 11, 32",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
14,2,"17, 17",x,o,x,x,x,x,o,o,x,o,x,x,x,x,x,x,o,x
8,7,"52, 15, 34, 5, 54, 52, 50",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
0,5,"28, 43, 3, 13, 16",x,o,o,x,x,x,o,o,x,x,x,o,o,x,o,o,o,o
2,3,"12, 36, 49",x,o,x,x,x,x,o,o,x,x,o,o,o,x,o,o,x,x
3,3,"7, 1, 18",x,o,x,x,x,x,o,o,x,x,x,o,o,x,o,o,x,x
14,1,51,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
0,2,"39, 53",x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,o,x,o
25,2,"36, 54",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
33,3,"62, 58, 21",o,o,o,o,x,x,o,o,x,x,x,x,x,x,x,x,x,x
26,4,"44, 52, 1, 44",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
4,2,"35, 27",x,o,o,x,x,x,x,x,x,x,x,o,o,x,o,o,x,o
21,2,"7, 60",x,o,x,x,o,x,o,x,x,x,x,o,x,x,o,x,x,x
12,4,"18, 10, 2, 35",x,o,o,x,x,x,o,o,x,x,x,x,o,x,x,x,x,x
16,10,"26, 1, 11, 61, 31, 50, 58, 17, 5, 44",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
14,8,"42, 24, 45, 11, 56, 13, 53, 57",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
10,2,"46, 8",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
34,3,"3, 15, 12",x,o,x,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
35,9,"5, 5, 8, 25, 2, 3, 36, 1, 58",o,o,o,x,x,x,o,o,x,x,x,o,o,x,x,x,x,x
24,9,"5, 62, 25, 15, 10, 31, 4, 1, 33",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
1,5,"35, 33, 38, 17, 43",x,o,o,x,x,x,o,o,o,o,x,o,o,x,o,o,o,o
13,4,"42, 31, 41, 14",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
5,9,"55, 56, 3, 18, 55, 14, 22, 42, 37",x,o,o,o,x,x,o,o,o,x,o,o,o,o,o,o,o,o
12,2,"19, 55",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,x,x,x
23,10,"63, 32, 26, 9, 4, 28, 31, 32, 10, 46",x,o,o,x,o,x,o,o,o,x,x,o,o,x,o,x,x,x
15,8,"6, 63, 48, 56, 29, 58, 24, 7",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
22,4,"4, 39, 41, 2",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
24,9,"21, 63, 4, 48, 25, 36, 12, 5, 55",o,o,o,o,o,x,o,o,x,o,o,o,x,x,o,x,x,x
24,6,"5, 49, 45, 45, 4, 33",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
16,8,"32, 45, 26, 29, 39, 61, 59, 57",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
28,7,"29, 26, 13, 37, 42, 45, 29",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
20,10,"33, 39, 23, 11, 7, 20, 35, 8, 1, 25",o,o,o,x,x,x,o,o,o,o,x,o,x,x,o,x,o,x
28,2,"9, 16",x,o,x,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
32,5,"8, 28, 56, 41, 46",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
25,9,"19, 20, 40, 30, 44, 44, 28, 39, 13",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,o
20,9,"26, 55, 52, 51, 27, 55, 42, 13, 5",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
33,8,"5, 48, 42, 42, 24, 4, 9, 13",o,o,o,x,o,x,o,o,o,o,x,o,x,x,o,x,x,x
23,9,"2, 62, 48, 6, 5, 49, 35, 50, 57",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,x,o
5,1,7,x,o,x,x,x,x,x,x,x,x,x,o,o,x,x,o,x,x
1,9,"61, 15, 13, 8, 12, 52, 7, 55, 59",o,o,o,x,o,x,o,o,o,x,o,o,o,o,o,o,o,o
0,7,"27, 22, 22, 22, 24, 62, 55",o,o,o,o,x,x,o,o,x,x,o,o,o,o,o,o,o,o
12,10,"11, 47, 29, 22, 61, 21, 12, 5, 46, 30",o,o,o,o,o,x,o,o,x,x,o,o,o,x,o,x,x,o
31,6,"55, 37, 29, 26, 24, 42",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
10,7,"24, 3, 16, 37, 12, 18, 14",o,o,o,o,x,x,o,o,x,x,o,o,o,x,o,o,o,o
19,9,"58, 27, 11, 28, 33, 51, 2, 16, 32",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
25,10,"39, 57, 29, 58, 13, 19, 47, 22, 10, 63",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
21,8,"8, 33, 44, 36, 61, 53, 52, 32",o,o,o,x,o,x,o,o,x,x,o,o,x,x,x,x,x,o
2,8,"56, 52, 19, 56, 6, 16, 48, 54",x,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
15,2,"6, 21",o,o,o,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
22,8,"5, 28, 51, 16, 25, 45, 1, 21",o,o,o,o,o,x,o,o,x,x,x,o,x,x,o,x,x,x
0,9,"39, 32, 13, 5, 45, 44, 21, 58, 2",o,o,o,o,o,x,o,o,o,x,o,o,o,x,o,o,o,o
18,10,"13, 39, 17, 3, 8, 52, 41, 42, 10, 50",o,o,o,x,x,x,o,o,o,o,x,o,o,x,o,x,o,x
34,9,"5, 39, 15, 25, 22, 43, 58, 49, 37",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,o
3,7,"47, 14, 17, 35, 53, 26, 57",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
14,2,"18, 61",o,o,o,x,o,x,o,o,x,x,x,x,x,x,x,x,x,x
13,2,"21, 49",o,o,x,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
20,7,"7, 52, 15, 19, 59, 37, 21",o,o,o,o,o,x,o,o,x,x,o,o,x,x,o,x,x,x
8,5,"4, 46, 62, 31, 29",x,o,o,x,x,x,x,o,x,x,x,x,o,x,o,o,x,o
4,8,"60, 20, 12, 8, 12, 47, 36, 2",o,o,x,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
14,4,"28, 27, 12, 38",x,o,o,x,x,x,x,o,x,x,x,o,x,x,o,x,x,x
20,7,"41, 5, 26, 10, 7, 18, 55",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
20,9,"42, 16, 26, 57, 44, 26, 26, 43, 30",o,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
22,3,"23, 4, 39",x,o,x,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
29,5,"33, 54, 57, 48, 13",x,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
11,7,"1, 54, 16, 31, 63, 34, 22",x,o,o,x,o,x,o,o,x,x,o,x,o,x,o,o,o,o
34,6,"53, 35, 54, 47, 57, 35",x,o,o,x,o,x,o,o,x,x,o,o,x,x,x,x,x,x
34,5,"50, 11, 33, 29, 23",o,o,o,x,x,x,o,o,x,o,x,x,x,x,o,x,x,x
27,3,"37, 43, 61",o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
24,2,"10, 31",x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
23,1,44,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
13,2,"60, 55",x,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
5,9,"63, 20, 24, 1, 60, 32, 7, 44, 59",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
32,6,"26, 38, 10, 17, 10, 24",o,o,o,x,x,x,x,o,o,o,x,o,x,x,x,x,x,x
25,8,"39, 22, 45, 18, 56, 3, 10, 9",o,o,o,o,x,x,o,o,x,x,o,o,o,x,o,x,o,x
10,10,"13, 53, 48, 16, 61, 17, 24, 47, 52, 42",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
14,2,"33, 36",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,8,"19, 18, 1, 42, 12, 34, 30, 31",x,o,o,o,x,x,o,o,o,x,o,o,o,x,o,o,o,o
11,7,"37, 13, 39, 3, 33, 33, 54",x,o,o,x,x,x,o,o,x,x,o,x,o,x,x,o,o,o
4,3,"38, 9, 52",x,o,o,x,x,x,x,o,x,x,x,o,o,x,o,o,o,x
28,2,"29, 40",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
5,4,"1, 55, 51, 7",x,o,x,x,x,x,x,o,x,x,o,o,o,x,o,o,x,o
14,1,26,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
25,3,"12, 37, 43",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
5,10,"60, 9, 35, 31, 35, 9, 30, 47, 7, 33",x,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
20,2,"33, 22",x,o,x,x,x,x,x,o,x,x,o,x,x,x,x,x,x,x
17,5,"9, 19, 58, 53, 7",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
22,9,"60, 11, 8, 50, 28, 49, 16, 36, 49",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
19,3,"43, 63, 11",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
23,1,9,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
23,8,"4, 1, 11, 8, 35, 41, 38, 63",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
19,10,"60, 7, 6, 33, 8, 48, 46, 10, 36, 16",x,o,o,x,o,x,o,o,o,o,o,o,o,x,o,x,x,o
6,1,57,x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
12,7,"37, 15, 10, 33, 53, 12, 16",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
36,10,"9, 1, 7, 42, 24, 34, 58, 26, 23, 39",o,o,o,x,x,x,o,o,o,x,x,o,o,x,o,x,x,x
10,9,"37, 52, 25, 29, 14, 26, 45, 20, 20",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
5,10,"38, 28, 8, 43, 48, 12, 29, 62, 23, 37",x,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
28,4,"33, 54, 59, 44",o,o,o,x,x,x,x,o,x,x,o,x,x,x,x,x,x,x
2,9,"31, 14, 9, 34, 59, 2, 22, 2, 47",o,o,o,x,o,x,o,o,o,x,o,o,o,o,o,o,o,o
16,8,"6, 63, 30, 61, 3, 23, 17, 8",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
1,3,"39, 6, 27",x,o,x,x,x,x,x,o,x,x,x,o,o,x,o,o,x,o
31,10,"23, 32, 50, 5, 5, 24, 9, 58, 17, 12",o,o,o,x,x,x,o,o,o,o,o,o,x,x,o,x,o,o
18,6,"54, 47, 36, 47, 53, 57",x,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
34,6,"14, 4, 43, 5, 7, 14",x,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,x
32,6,"15, 40, 59, 56, 52, 62",o,o,o,x,x,x,o,o,x,x,o,o,o,x,x,x,x,x
0,8,"57, 51, 55, 42, 50, 42, 39, 49",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
14,3,"10, 48, 51",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
22,10,"16, 42, 9, 39, 10, 37, 44, 22, 25, 57",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,x,o,x
13,9,"31, 49, 58, 44, 30, 5, 18, 49, 12",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,o
11,1,23,x,o,x,x,x,x,o,x,x,x,x,x,o,x,x,x,x,x
2,3,"54, 40, 45",o,o,o,x,o,x,x,o,x,x,o,o,o,x,o,o,x,o
16,7,"1, 39, 23, 10, 56, 25, 9",x,o,o,x,x,x,o,o,o,x,x,o,o,x,o,x,x,x
14,7,"44, 56, 19, 45, 8, 34, 5",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
34,1,38,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
26,5,"33, 19, 40, 28, 5",x,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
6,8,"22, 5, 20, 24, 11, 39, 36, 11",o,o,o,x,x,x,o,o,o,o,o,o,o,x,o,o,o,o
35,10,"22, 6, 34, 14, 28, 16, 34, 46, 14, 31",x,o,o,x,x,x,o,o,x,o,o,o,x,x,o,x,x,o
5,5,"1, 28, 52, 10, 56",x,o,o,x,x,x,x,o,o,x,x,o,o,x,o,o,x,o
29,1,54,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
36,3,"45, 19, 1",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
29,9,"58, 51, 28, 52, 7, 33, 15, 52, 2",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
20,1,12,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,9,"49, 54, 21, 39, 10, 13, 2, 16, 40",o,o,o,o,o,x,o,o,o,x,o,o,o,x,o,o,o,o
17,5,"52, 46, 20, 23, 23",o,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,o,x
25,6,"47, 7, 50, 23, 59, 51",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
34,3,"11, 40, 49",x,o,x,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
33,1,56,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
18,4,"12, 47, 35, 52",x,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
25,1,61,o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
6,2,"60, 30",x,o,o,x,o,x,o,o,x,x,x,o,o,x,o,o,x,o
33,4,"5, 24, 24, 4",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
4,6,"3, 18, 10, 19, 34, 51",x,o,x,o,x,x,o,o,o,x,o,o,o,x,o,o,o,o
31,5,"15, 33, 19, 11, 25",x,o,x,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
33,3,"48, 21, 52",o,o,o,o,o,x,o,o,x,o,x,o,x,x,o,x,x,x
35,4,"54, 59, 18, 57",o,o,o,x,x,x,o,o,x,x,o,o,x,x,x,x,x,x
16,4,"23, 43, 58, 46",o,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
1,2,"11, 57",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
6,4,"48, 15, 10, 27",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
10,1,61,o,o,o,x,o,x,x,o,x,x,o,x,o,x,x,x,x,o
36,4,"17, 59, 23, 51",o,o,o,x,x,x,o,o,x,o,o,o,x,x,x,x,x,x
11,7,"23, 48, 25, 7, 3, 58, 52",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
2,8,"20, 60, 2, 56, 27, 59, 21, 29",o,o,o,o,o,x,o,o,o,x,o,o,o,x,o,o,o,o
23,3,"7, 14, 51",x,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
24,7,"20, 46, 44, 39, 52, 49, 17",o,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,o,x
32,9,"12, 8, 35, 4, 38, 19, 36, 2, 31",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
2,4,"26, 35, 5, 22",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,o,o
5,8,"12, 14, 25, 5, 52, 12, 52, 61",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
28,1,35,x,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
35,5,"1, 59, 40, 63, 40",o,o,o,x,x,x,x,o,x,x,o,o,x,x,x,x,x,x
36,7,"42, 9, 9, 36, 40, 31, 40",x,o,o,x,x,x,o,o,x,x,x,o,o,x,x,x,o,x
29,3,"54, 16, 28",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
28,2,"9, 37",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,10,"54, 16, 22, 27, 45, 38, 10, 24, 58, 56",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,x,x,o
17,3,"6, 51, 33",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
14,5,"1, 35, 51, 62, 25",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
28,1,60,x,o,x,x,o,x,o,x,x,x,x,o,x,x,x,x,x,x
31,6,"34, 1, 13, 2, 25, 27",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,4,"8, 7, 28, 62",x,o,x,x,x,x,x,o,x,x,x,o,o,x,o,o,x,x
34,1,20,o,o,x,x,x,x,o,x,x,x,x,o,x,x,x,x,o,x
17,6,"32, 19, 30, 52, 3, 13",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
4,1,58,o,o,o,x,x,x,x,x,x,x,o,o,o,x,x,o,x,x
2,2,"5, 37",x,o,o,x,x,x,x,o,x,x,x,o,o,x,x,o,x,x
7,10,"25, 29, 17, 2, 21, 3, 39, 35, 46, 59",o,o,o,o,o,x,o,o,o,o,o,o,o,x,o,o,o,o
36,6,"38, 29, 21, 63, 48, 25",o,o,o,o,o,x,o,o,x,o,x,o,x,x,o,x,x,x
23,6,"37, 40, 5, 30, 53, 50",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
33,8,"42, 6, 54, 7, 4, 13, 30, 39",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,o
5,9,"45, 46, 50, 17, 49, 59, 28, 25, 49",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
20,6,"35, 44, 63, 56, 9, 18",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
32,4,"34, 21, 36, 28",o,o,o,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
14,7,"53, 59, 55, 10, 61, 55, 33",o,o,o,x,o,x,o,o,x,x,o,o,x,x,x,x,x,x
31,8,"56, 3, 8, 52, 24, 60, 14, 32",o,o,o,x,o,x,o,o,x,x,x,o,o,x,o,x,x,o
16,3,"60, 15, 18",x,o,x,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
14,8,"55, 1, 27, 9, 43, 14, 58, 8",o,o,o,x,x,x,o,o,o,x,x,o,o,x,o,x,x,x
25,1,59,o,o,o,x,x,x,x,o,x,x,o,x,x,x,x,x,x,x
0,5,"7, 59, 55, 57, 23",o,o,o,x,x,x,o,o,o,x,o,o,o,x,o,o,o,o
24,1,32,x,x,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
3,6,"62, 35, 63, 32, 31, 63",x,o,o,x,o,x,x,o,x,x,x,o,o,x,o,o,o,o
3,4,"12, 1, 17, 38",x,o,x,x,x,x,o,o,o,o,o,o,o,x,o,o,o,x
17,1,37,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
34,1,54,x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
10,10,"5, 17, 11, 50, 17, 10, 2, 60, 49, 51",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
16,10,"14, 30, 49, 19, 44, 46, 2, 20, 16, 30",o,o,o,x,x,x,o,o,o,o,x,o,x,x,o,x,o,o
26,5,"17, 29, 42, 16, 34",x,o,o,x,x,x,o,o,x,o,x,x,x,x,x,x,x,x
4,6,"37, 1, 5, 42, 19, 8",x,o,o,x,x,x,o,o,o,x,x,o,o,x,o,o,o,o
7,5,"47, 38, 7, 38, 16",x,o,x,x,o,x,o,o,x,x,o,o,o,x,o,o,x,x
15,1,8,x,o,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
8,1,16,x,o,x,x,x,x,o,o,x,x,x,x,o,x,x,x,x,x
3,3,"21, 8, 7",o,o,x,o,o,x,o,o,x,x,x,o,o,x,o,o,x,x
6,10,"10, 35, 46, 20, 9, 18, 60, 41, 27, 5",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,o,o
12,8,"35, 22, 62, 55, 1, 56, 15, 10",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,x
32,8,"20, 47, 23, 39, 40, 21, 46, 23",o,o,o,o,o,x,o,o,o,o,x,o,x,x,o,x,o,x
21,10,"43, 26, 31, 44, 27, 6, 20, 13, 42, 37",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,o,x
31,9,"40, 22, 12, 62, 54, 38, 15, 16, 31",x,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,x
1,1,4,x,o,x,x,x,x,x,x,x,x,x,o,o,x,o,o,x,x
33,3,"48, 10, 56",x,o,o,x,o,x,o,o,x,o,x,o,x,x,o,x,x,x
27,2,"9, 38",x,o,x,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
10,5,"26, 48, 61, 58, 49",o,o,o,x,o,x,o,o,o,o,o,x,o,x,o,o,x,o
4,4,"34, 48, 11, 23",x,o,x,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
29,8,"45, 13, 37, 57, 30, 5, 26, 1",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
29,5,"16, 47, 62, 38, 50",o,o,o,x,o,x,o,o,x,x,x,o,x,x,x,x,x,x
15,9,"46, 13, 40, 16, 31, 29, 49, 59, 53",o,o,o,x,x,x,o,o,x,x,o,o,o,x,o,x,x,o
3,1,38,x,x,x,x,x,x,x,x,x,x,x,o,o,x,x,x,x,x
11,5,"58, 55, 17, 30, 62",o,o,o,x,x,x,o,o,x,o,o,x,o,x,o,o,o,o
6,4,"59, 5, 14, 48",o,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
10,9,"54, 33, 44, 26, 48, 49, 36, 46, 6",x,o,o,x,o,x,o,o,o,o,o,x,o,x,o,o,x,o
25,6,"24, 20, 20, 25, 28, 36",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,o,x
24,10,"38, 57, 8, 37, 25, 56, 61, 41, 52, 25",o,o,o,x,o,x,o,o,x,x,o,o,o,x,x,x,x,x
33,7,"58, 40, 37, 57, 39, 27, 19",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,x
32,7,"6, 2, 25, 30, 43, 54, 56",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
